@id,@lon,@lat,name,operator,manufacturer,manufacturer:type,generator:manufacturer,generator:type,generator:output:electricity,power_rating,rotor:diameter,height,ref,note
252722219,9.8403098,53.4996271,,,,,,,,,,,,
252722220,9.8491033,53.4971930,,,,,,,,,,,,
252722221,9.8500410,53.4996713,,,,,,,,,,,,
252722240,9.8411747,53.5014326,,,,,,,,,,,,
252722244,9.8508038,53.5021484,,,,,,,,,,,,
252860640,10.1031795,53.4538182,,Klaus Soltau und Jens Heidorn NET OHG,NEG Micon,,,,600,,48,70,,
252860641,10.0995918,53.4548813,,Klaus Soltau und Jens Heidorn NET OHG,NEG Micon,,,,600,,48,70,NM13297,
252860642,10.0962015,53.4564758,,Klaus Soltau und Jens Heidorn NET OHG,NEG Micon,,,,600,,48,70,,
252860947,10.0939610,53.4575842,,Klaus Soltau und Jens Heidorn NET OHG,NEG Micon,,,,600,,48,70,,
252860948,10.0915149,53.4587596,,Klaus Soltau und Jens Heidorn NET OHG,NEG Micon,,,,600,,48,70,,
253249818,6.3510741,50.6460222,,,,,,,,,,,,
254039813,6.5647964,51.5713974,,,,,,,,,,,,
254039828,6.5656891,51.5695035,,,,,,,,,,,,
254039829,6.5614147,51.5715841,,,,,,,,,,,,
254039830,6.5650883,51.5677002,,,,,,,,,,,,
254039831,6.5556469,51.5744967,,,,,,,,,,,,
254093420,6.5009114,51.4846643,,,,,,,,,,,,
254210800,6.4368978,51.4596869,,,,,,,,,,,,
254210832,6.4393612,51.4581413,,,,,,,,,,,,
254210896,6.4427686,51.4570931,,,,,,,,,,,,
254210903,6.4456182,51.4561893,,,,,,,,,,,,
254214300,6.4205127,51.4645798,,,,,,,,,,,,
254214308,6.4273706,51.4656867,,,,,,,,,,,,
254214318,6.4273277,51.4680019,,,,,,,,,,,,
254341125,5.3554007,52.3972434,,,,,,,,,,,,
254341158,5.3678790,52.4030194,,,,,,,,,,,,
254341168,5.3750287,52.3970126,,,,,,,,,,,,
254341171,5.3779899,52.3983743,,,,,,,,,,,,
254341172,5.3791228,52.3931578,,,,,,,,,,,,
254341174,5.3821526,52.3944672,,,,,,,,,,,,
254341179,5.3840409,52.3923721,,,,,,,,,,,,
254341181,5.3876887,52.3855782,,,,,,,,,,,,
254341183,5.3906756,52.3869035,,,,,,,,,,,,
254341184,5.3920060,52.3819372,,,,,,,,,,,,
254341187,5.3949843,52.3832469,,,,,,,,,,,,
254341195,5.3996020,52.3794852,,,,,,,,,,,,
254341198,5.4007779,52.3745600,,,,,,,,,,,,
254341202,5.4094039,52.3670662,,,,,,,,,,,,
254341328,5.3883325,52.3347342,,,,,,,,,,,,
254341376,5.3957565,52.3242506,,,,,,,,,,,,
254341382,5.4152829,52.3326432,,,,,,,,,,,,
254343106,5.4071119,52.3882253,,,,,,,,,,,,
254343111,5.4113347,52.3845478,,,,,,,,,,,,
254343135,5.4093778,52.3874710,,,,,,,,,,,,
254343213,5.4150426,52.4086029,,,,,,,,,,,,
254343216,5.4222095,52.4061786,,,,,,,,,,,,
254343219,5.4192054,52.4049114,,,,,,,,,,,,
254343222,5.4266555,52.4023770,,,,,,,,,,,,
254343230,5.4309299,52.3986954,,,,,,,,,,,,
254343232,5.4278228,52.3974752,,,,,,,,,,,,
254343265,5.4324577,52.3935995,,,,,,,,,,,,
254343269,5.4353759,52.3949246,,,,,,,,,,,,
254372783,9.5088341,53.3727425,,,,,,,,,,,,
254372784,9.5092633,53.3757636,,,,,,,,,,,,
254372785,9.5168593,53.3765316,,,,,,,,,,,,
254372787,9.5159581,53.3740482,,,,,,,,,,,,
254372795,9.5139284,53.3711328,,,,,,,,,,,,
254372796,9.5142844,53.3680311,,,,,,,,,,,,
254400838,10.0327377,53.5075976,,,,,,,,,,,,
254400839,10.0297680,53.5089911,,,,,,,,,,,,
254400840,10.0314674,53.5100987,,,,,,,,,,,,
254400841,10.0290641,53.5106908,,,,,,,,,,,,
254452930,9.9563514,53.4922084,,,Enercon,,,,,,,,,
254452932,9.9574372,53.4906984,,,Enercon,,,,,,,,,
254614154,12.8325321,52.5289881,WEA E-66 2000 kW,,Enercon,E-66,,,2 MW,,,,,
254614156,12.8333647,52.5307947,WEA E-66 2000 kW,,Enercon,E-66,,,2 MW,,,,,
254614158,12.8341286,52.5274059,WEA E-66 2000 kW,,Enercon,E-66,,,2 MW,,,,,
255147068,6.1992659,50.8416028,,,,,,,,,,,,
255441761,5.3991089,52.4172202,,,,,,,,,,,,
255441902,5.3855906,52.4114614,,,,,,,,,,,,
255442313,5.3611717,52.3744567,,,,,,,,,,,,
255442373,5.3443918,52.3727275,,,,,,,,,,,,
255442374,5.3413449,52.3714698,,,,,,,,,,,,
255442375,5.3545628,52.3603328,,,,,,,,,,,,
255442381,5.3575239,52.3615383,,,,,,,,,,,,
255442384,5.3503571,52.3640018,,,,,,,,,,,,
255442385,5.3533612,52.3652596,,,,,,,,,,,,
255442474,5.3867493,52.3520240,,,,,,,,,,,,
255442479,5.4195366,52.3575546,,,,,,,,,,,,
255442509,5.4003105,52.3398857,,,,,,,,,,,,
256004870,17.3859068,48.5704660,Veterná elektráren Cerová,,,,,,,,,,,
256004871,17.3840407,48.5699561,Veterná elektráren Cerová,,,,,,,,,,,
256004872,17.3821745,48.5694463,Veterná elektráren Cerová,,,,,,,,,,,
256533119,8.5949163,53.3137988,,,,,,,,,,,,
256533120,8.5932911,53.3151530,,,,,,,,,,,,
256533121,8.5915578,53.3166138,,,,,,,,,,,,
256533122,8.5978250,53.3171525,,,,,,,,,,,,
256533123,8.5996283,53.3159957,,,,,,,,,,,,
256533124,8.5960956,53.3186271,,,,,,,,,,,,
